sg_uf;nm_municipio;nm_candidato;ds_cargo;nr_candidato;sg_partido;nr_turno;ds_sit_totalizacao;qt_votos_validos;qt_votos_nominais;dt_carga
AC;ACRELÂNDIA;ADALBERTO SOUZA DE ALMEIDA;Deputado Estadual;36946;AGIR;1;Não Eleito;7037;0;2022-11-14 18:47:07
AC;ACRELÂNDIA;ADALICIO ALVES FIGUEIREDO JUNIOR;Deputado Estadual;40456;PSB;1;Suplente;7037;5;2022-11-14 18:47:07
AC;ACRELÂNDIA;ADEKSON DE PINHO LIMA;Deputado Estadual;19222;PODE;1;Suplente;7037;0;2022-11-14 18:47:07
AC;ACRELÂNDIA;ADENILSON DUTRA DE SOUZA;Deputado Estadual;23789;CIDADANIA;1;Suplente;7037;0;2022-11-14 18:47:07
AC;ACRELÂNDIA;ADERLANDIO MEDEIROS DA SILVA;Deputado Estadual;50222;PSOL;1;Não Eleito;7037;0;2022-11-14 18:47:07
AC;ACRELÂNDIA;ADERLÂNDIO NASCIMENTO DE FRANÇA;Deputado Estadual;12300;PDT;1;Suplente;7037;0;2022-11-14 18:47:07
AC;ACRELÂNDIA;ADONAY DE OLIVEIRA BRITO;Deputado Estadual;13613;PT;1;Suplente;7037;26;2022-11-14 18:47:07
AC;ACRELÂNDIA;ADRIANA ANDRADE DOS SANTOS;Deputado Estadual;36461;AGIR;1;Não Eleito;7037;0;2022-11-14 18:47:07
AC;ACRELÂNDIA;ADRIANA DA SILVA MELO;Deputado Federal;1223;PDT;1;Não Eleito;6955;5;2022-11-14 18:47:07
AC;ACRELÂNDIA;ADRIANA TAVARES DA CRUZ MAIA;Deputado Estadual;15444;MDB;1;Suplente;7037;0;2022-11-14 18:47:07
AC;ACRELÂNDIA;AFONSON FERREIRA ALVES;Deputado Estadual;77252;SOLIDARIEDADE;1;Não Eleito;7037;0;2022-11-14 18:47:07
AC;ACRELÂNDIA;AGLEISON ALEXANDRINO CORREIA;Deputado Estadual;55999;PSD;1;Suplente;7037;5;2022-11-14 18:47:07
