sg_uf;nm_municipio;nm_candidato;ds_cargo;nr_candidato;sg_partido;nr_turno;ds_sit_totalizacao;qt_votos_validos;qt_votos_nominais;dt_carga
AM;ALVARÃES;ABDALA HABIB FRAXE JUNIOR;Deputado Estadual;70000;AVANTE;1;Eleito;8330;2806;2022-11-14 18:47:07
AM;ALVARÃES;ADAIL JOSÉ FIGUEIREDO PINHEIRO;Deputado Federal;1000;REPUBLICANOS;1;Eleito;8491;825;2022-11-14 18:47:07
AM;ALVARÃES;ADEJALMA CAMELO DA SILVA;Deputado Estadual;23190;CIDADANIA;1;Suplente;8330;1;2022-11-14 18:47:07
AM;ALVARÃES;ADEMIR PRINCIPE DE ROJAS;Deputado Estadual;40789;PSB;1;Não Eleito;8330;0;2022-11-14 18:47:07
AM;ALVARÃES;ADEMIR ROCHA DOS SANTOS;Deputado Federal;2011;PSC;1;Não Eleito;8491;0;2022-11-14 18:47:07
AM;ALVARÃES;ADERSON DIB LEITE BARBOSA;Deputado Estadual;10010;REPUBLICANOS;1;Suplente;8330;0;2022-11-14 18:47:07
AM;ALVARÃES;ADJUTO RODRIGUES AFONSO;Deputado Estadual;44111;UNIÃO;1;Eleito;8330;0;2022-11-14 18:47:07
AM;ALVARÃES;ADRIANA CASTRO MOURA;Deputado Estadual;14607;PTB;1;Não Eleito;8330;0;2022-11-14 18:47:07
AM;ALVARÃES;ADRIANA MOURA DE MENDONÇA;Deputado Federal;9099;PROS;1;Não Eleito;8491;0;2022-11-14 18:47:07
AM;ALVARÃES;ADRIANA PINTO ALVES;Deputado Estadual;45111;PSDB;1;Suplente;8330;0;2022-11-14 18:47:07
AM;ALVARÃES;ADRIANA RIBEIRO DA ENCARNAÇÃO;Deputado Estadual;20006;PSC;1;Suplente;8330;0;2022-11-14 18:47:07
AM;ALVARÃES;ADRIELE FARIAS;Deputado Estadual;12569;PDT;1;Não Eleito;8330;0;2022-11-14 18:47:07
AM;ALVARÃES;AGNELO BATISTA DE LIMA JUNIOR;Deputado Estadual;33190;PMN;1;Não Eleito;8330;0;2022-11-14 18:47:07
AM;ALVARÃES;AGOSTINHO DO NASCIMENTO CASTRO;Deputado Estadual;43003;PV;1;Suplente;8330;0;2022-11-14 18:47:07
AM;ALVARÃES;ALAN KARDECK PEREIRA AMAZONAS;Deputado Federal;1200;PDT;1;Não Eleito;8491;2;2022-11-14 18:47:07
