sg_uf;nm_municipio;nm_candidato;ds_cargo;nr_candidato;sg_partido;nr_turno;ds_sit_totalizacao;qt_votos_validos;qt_votos_nominais;dt_carga
AP;AMAPÁ;ABDINEL RODRIGUES FERREIRA;Deputado Estadual;12111;PDT;1;Suplente;5307;3;2022-11-14 18:47:07
AP;AMAPÁ;ABIMAELTON LIMA FONSECA;Deputado Estadual;40180;PSB;1;Não Eleito;5307;0;2022-11-14 18:47:07
AP;AMAPÁ;ACHILES EDUARDO PONTES CAMPOS;Deputado Federal;2200;PL;1;Suplente;5318;17;2022-11-14 18:47:07
AP;AMAPÁ;ACLEMILDO BARBOSA DOS SANTOS;Deputado Estadual;22191;PL;1;Suplente;5307;1;2022-11-14 18:47:07
AP;AMAPÁ;ACÁCIO DA SILVA FAVACHO NETO;Deputado Federal;1515;MDB;1;Eleito;5318;275;2022-11-14 18:47:07
AP;AMAPÁ;ADILSON GARCIA DO NASCIMENTO;Deputado Federal;1280;PDT;1;Suplente;5318;39;2022-11-14 18:47:07
AP;AMAPÁ;ADRIANO RENAN FERREIRA TRAJANO DE SOUZA;Deputado Estadual;11222;PP;1;Suplente;5307;0;2022-11-14 18:47:07
AP;AMAPÁ;AFONSO GOMES GUIMARAES;Deputado Federal;1470;PTB;1;Não Eleito;5318;17;2022-11-14 18:47:07
AP;AMAPÁ;AILTON DIAS BELO COSTA;Deputado Estadual;12789;PDT;1;Suplente;5307;0;2022-11-14 18:47:07
AP;AMAPÁ;AILTON SILVA DOS SANTOS;Deputado Federal;4390;PV;1;Não Eleito;5318;0;2022-11-14 18:47:07
AP;AMAPÁ;ALAN DOS SANTOS COSTA;Deputado Estadual;19192;PODE;1;Suplente;5307;1;2022-11-14 18:47:07
AP;AMAPÁ;ALBA NIZE COLARES CALDAS;Deputado Federal;1236;PDT;1;Suplente;5318;27;2022-11-14 18:47:07
AP;AMAPÁ;ALBANITA CASTILHO FERREIRA;Deputado Estadual;19111;PODE;1;Suplente;5307;0;2022-11-14 18:47:07
AP;AMAPÁ;ALBENIZIA MARA MARTINS DOS SANTOS BERTOLO;Deputado Estadual;43555;PV;1;Suplente;5307;1;2022-11-14 18:47:07
AP;AMAPÁ;ALBERTO SILVA NEGRÃO;Deputado Estadual;45999;PSDB;1;Suplente;5307;32;2022-11-14 18:47:07
AP;AMAPÁ;ALDENORA PORTILHO DOS SANTOS;Deputado Estadual;18122;REDE;1;Suplente;5307;0;2022-11-14 18:47:07
AP;AMAPÁ;ALDILENE MATOS DE SOUZA;Deputado Estadual;12456;PDT;1;Eleito;5307;41;2022-11-14 18:47:07
AP;AMAPÁ;ALDO MAURICIO NASCIMENTO DOS SANTOS;Deputado Federal;5577;PSD;1;Não Eleito;5318;6;2022-11-14 18:47:07
AP;AMAPÁ;ALESSANDRA FURTADO DE SOUZA DA SILVA;Deputado Estadual;11180;PP;1;Suplente;5307;0;2022-11-14 18:47:07
AP;AMAPÁ;ALESSANDRA MONTEIRO DOS SANTOS;Deputado Estadual;11211;PP;1;Suplente;5307;0;2022-11-14 18:47:07
AP;AMAPÁ;ALESSANDRA SAMARA DOS REIS NUNES;Deputado Estadual;22789;PL;1;Suplente;5307;0;2022-11-14 18:47:07
AP;AMAPÁ;ALESSANDRA TAYRA LAU DOS SANTOS LEITE;Deputado Estadual;10789;REPUBLICANOS;1;Suplente;5307;2;2022-11-14 18:47:07
AP;AMAPÁ;ALESSANDRO CARDOSO VIANA;Deputado Estadual;19900;PODE;1;Suplente;5307;0;2022-11-14 18:47:07
AP;AMAPÁ;ALEX DIONE CAMILO MARQUES;Deputado Estadual;15151;MDB;1;Suplente;5307;1;2022-11-14 18:47:07
AP;AMAPÁ;ALEXANDRE RAMOS DA COSTA;Deputado Estadual;11123;PP;1;Suplente;5307;4;2022-11-14 18:47:07
AP;AMAPÁ;ALINE PARANHOS VARONIL GURGEL;Deputado Federal;1000;REPUBLICANOS;1;Não Eleito;5318;164;2022-11-14 18:47:07
AP;AMAPÁ;ALINNE DO ROSARIO BRITO;Deputado Federal;5013;PSOL;1;Não Eleito;5318;0;2022-11-14 18:47:07
AP;AMAPÁ;ALLAN DE SOUZA CHAVES;Deputado Estadual;50789;PSOL;1;Suplente;5307;1;2022-11-14 18:47:07
