sg_uf;nm_municipio;nm_candidato;ds_cargo;nr_candidato;sg_partido;nr_turno;ds_sit_totalizacao;qt_votos_validos;qt_votos_nominais;dt_carga
ZZ;ABIDJÃ;CIRO FERREIRA GOMES;Presidente;12;PDT;1;Não Eleito;46;3;2022-11-14 18:47:07
ZZ;ABIDJÃ;JAIR MESSIAS BOLSONARO;Presidente;22;PL;1;Segundo turno;46;18;2022-11-14 18:47:07
ZZ;ABIDJÃ;JOSE MARIA EYMAEL;Presidente;27;DC;1;Não Eleito;46;1;2022-11-14 18:47:07
ZZ;ABIDJÃ;KELMON LUIS DA SILVA SOUZA;Presidente;14;PTB;1;Não Eleito;46;0;2022-11-14 18:47:07
ZZ;ABIDJÃ;LEONARDO PÉRICLES VIEIRA ROQUE;Presidente;80;UP;1;Não Eleito;46;0;2022-11-14 18:47:07
ZZ;ABIDJÃ;LUIZ FELIPE CHAVES D'AVILA;Presidente;30;NOVO;1;Não Eleito;46;0;2022-11-14 18:47:07
ZZ;ABIDJÃ;LUIZ INÁCIO LULA DA SILVA;Presidente;13;PT;1;Segundo turno;46;21;2022-11-14 18:47:07
ZZ;ABIDJÃ;SIMONE NASSAR TEBET;Presidente;15;MDB;1;Não Eleito;46;1;2022-11-14 18:47:07
ZZ;ABIDJÃ;SOFIA PADUA MANZANO;Presidente;21;PCB;1;Não Eleito;46;2;2022-11-14 18:47:07
ZZ;ABIDJÃ;SORAYA VIEIRA THRONICKE;Presidente;44;UNIÃO;1;Não Eleito;46;0;2022-11-14 18:47:07
ZZ;ABIDJÃ;VERA LUCIA PEREIRA DA SILVA SALGADO;Presidente;16;PSTU;1;Não Eleito;46;0;2022-11-14 18:47:07
ZZ;ABU DHABI;CIRO FERREIRA GOMES;Presidente;12;PDT;1;Não Eleito;955;53;2022-11-14 18:47:07
ZZ;ABU DHABI;JAIR MESSIAS BOLSONARO;Presidente;22;PL;1;Segundo turno;955;464;2022-11-14 18:47:07
ZZ;ABU DHABI;JOSE MARIA EYMAEL;Presidente;27;DC;1;Não Eleito;955;0;2022-11-14 18:47:07
ZZ;ABU DHABI;KELMON LUIS DA SILVA SOUZA;Presidente;14;PTB;1;Não Eleito;955;2;2022-11-14 18:47:07
ZZ;ABU DHABI;LEONARDO PÉRICLES VIEIRA ROQUE;Presidente;80;UP;1;Não Eleito;955;0;2022-11-14 18:47:07
ZZ;ABU DHABI;LUIZ FELIPE CHAVES D'AVILA;Presidente;30;NOVO;1;Não Eleito;955;30;2022-11-14 18:47:07
ZZ;ABU DHABI;LUIZ INÁCIO LULA DA SILVA;Presidente;13;PT;1;Segundo turno;955;352;2022-11-14 18:47:07
ZZ;ABU DHABI;SIMONE NASSAR TEBET;Presidente;15;MDB;1;Não Eleito;955;47;2022-11-14 18:47:07
ZZ;ABU DHABI;SOFIA PADUA MANZANO;Presidente;21;PCB;1;Não Eleito;955;0;2022-11-14 18:47:07
ZZ;ABU DHABI;SORAYA VIEIRA THRONICKE;Presidente;44;UNIÃO;1;Não Eleito;955;6;2022-11-14 18:47:07
ZZ;ABU DHABI;VERA LUCIA PEREIRA DA SILVA SALGADO;Presidente;16;PSTU;1;Não Eleito;955;1;2022-11-14 18:47:07
